6,0.00,0.00,0.00,
20,0.00,0.00,0.00,
39,0.00,0.00,0.00,
60,0.00,0.00,0.00,
78,0.00,0.00,0.00,
99,0.00,0.00,0.00,
120,0.00,0.00,0.00,
139,0.00,0.00,0.00,
159,0.00,0.00,0.00,
179,0.00,0.00,0.00,
199,0.00,0.00,0.00,
219,0.00,0.00,0.00,
240,0.00,0.00,0.00,
259,0.00,0.00,0.00,
279,0.00,0.00,0.00,
299,0.00,0.00,0.00,
319,0.00,0.00,0.00,
339,0.00,0.00,0.00,
359,0.00,0.00,0.00,
381,0.00,0.00,0.00,
400,0.00,0.00,0.00,
418,0.00,0.00,0.00,
439,0.00,0.00,0.00,
459,0.00,0.00,0.00,
480,0.00,0.00,0.00,
504,0.01,0.00,0.00,
520,0.02,0.00,0.00,
539,0.04,0.00,0.00,
559,0.07,0.00,0.00,
578,0.08,0.00,0.00,
600,0.11,0.00,0.00,
619,0.11,0.00,0.00,
639,0.13,0.00,0.00,
660,0.13,0.00,0.00,
680,0.13,0.00,0.00,
700,0.15,0.00,0.00,
719,0.16,0.00,0.00,
739,0.16,0.00,0.00,
759,0.17,0.00,0.00,
779,0.18,0.00,0.00,
799,0.18,0.00,0.00,
820,0.19,0.00,0.00,
839,0.19,0.00,0.00,
859,0.19,0.00,0.00,
879,0.19,0.00,0.00,
900,0.19,0.00,0.00,
921,0.19,0.00,0.00,
946,0.19,0.00,0.00,
962,0.19,0.00,0.00,
981,0.19,0.00,0.00,
999,0.19,0.00,0.00,
1019,0.19,0.00,0.00,
1041,0.19,0.00,0.00,
1060,0.19,0.00,0.00,
1080,0.19,0.00,0.00,
1099,0.19,0.00,0.00,
1129,0.19,0.00,0.00,
1142,0.19,0.00,0.00,
1160,0.19,0.00,0.00,
1192,0.19,0.00,0.00,
1203,0.19,0.00,0.00,
1221,0.19,0.00,0.00,
1239,0.19,0.00,0.00,
1259,0.19,0.00,0.00,
1279,0.19,0.00,0.00,
1302,0.19,0.00,0.00,
1320,0.19,0.00,0.00,
1342,0.19,0.00,0.00,
1361,0.19,0.00,0.00,
1380,0.19,0.00,0.00,
1399,0.19,0.00,0.00,
1419,0.19,0.00,0.00,
1439,0.19,0.00,0.00,
1459,0.19,0.00,0.00,
1480,0.19,0.00,0.00,
1500,0.19,0.00,0.00,
1519,0.19,0.00,0.00,
1539,0.19,0.00,0.00,
1568,0.19,0.00,0.00,
1587,0.19,0.00,0.00,
1609,0.19,0.00,0.00,
1621,0.19,0.00,0.00,
1640,0.19,0.00,0.00,
1661,0.19,0.00,0.00,
1679,0.19,0.00,0.01,
1699,0.19,0.00,0.04,
1719,0.16,0.00,0.15,
1739,0.11,0.00,0.19,
1759,0.06,0.00,0.25,
1779,0.02,0.00,0.28,
1799,0.00,0.00,0.28,
1820,0.00,0.00,0.28,
1839,0.00,0.00,0.30,
1860,0.00,0.00,0.34,
1879,0.00,0.00,0.35,
1899,0.00,0.00,0.35,
1920,0.00,0.00,0.35,
1939,0.00,0.00,0.35,
1960,0.00,0.00,0.35,
1979,0.00,0.00,0.35,
1999,0.00,0.00,0.35,
2019,0.00,0.00,0.35,
2039,0.00,0.00,0.35,
2059,0.00,0.00,0.35,
2079,0.00,0.00,0.35,
2099,0.00,0.00,0.35,
2121,0.00,0.00,0.35,
2140,0.00,0.00,0.37,
2160,0.00,0.00,0.37,
2179,0.00,0.00,0.37,
2199,0.00,0.00,0.39,
2220,0.00,0.00,0.39,
2240,0.00,0.00,0.41,
2260,0.00,0.00,0.41,
2280,0.00,0.00,0.41,
2300,0.00,0.00,0.41,
2320,0.00,0.00,0.43,
2343,0.00,0.00,0.45,
2373,0.00,0.00,0.47,
2382,0.00,0.00,0.47,
2401,0.00,0.00,0.47,
2419,0.00,0.00,0.49,
2439,0.00,0.00,0.49,
2460,0.00,0.00,0.49,
2480,0.00,0.00,0.45,
2512,0.00,0.00,0.41,
